author,camp,mean_compound,std_compound,n_comments,pct_negative,pct_positive
@111111222223,science,-0.7667028,,1,1.0,0.0
@11111DeletedAccount,denial,0.97739947,,1,0.0,1.0
@1112viggo,denial,-0.8010095,,1,1.0,0.0
@113MPG,science,-0.7369869,,1,1.0,0.0
@11C1P,denial,0.0648234,,1,0.0,0.0
@11prince81,denial,-0.515969,,1,1.0,0.0
@11rightstuff,science,0.9151525,,1,0.0,1.0
@11vwww,denial,-0.18550623,0.09184661287349323,4,0.0,0.0
@12112NK,science,0.09984524,,1,0.0,0.0
@12235117657598502586,science,-0.6414181,,1,1.0,0.0
@123321Francisco,denial,0.6594902,0.0,2,0.0,1.0
@12345bil12345,science,-0.42244374500000004,0.22161841629780335,2,0.5,0.0
@1234Tsukichan,denial,-0.6944793,0.0,2,1.0,0.0
@1237barca,science,-0.8640363,,1,1.0,0.0
@123FireSnake,science,-0.64797515,,1,1.0,0.0
@123Redinger,denial,0.051623538,0.0,2,0.0,0.0
@123anu7,science,-0.15745723,,1,0.0,0.0
@123asdzxc7,denial,-0.8385034,,1,1.0,0.0
@123cityperson,denial,-0.36206692,,1,0.0,0.0
@123gh,denial,0.83769715,,1,0.0,1.0
@123goldenlily,science,-0.31012914,,1,0.0,0.0
@123idolfan,denial,-0.16811392,,1,0.0,0.0
@123jac,science,-0.7439696,,1,1.0,0.0
@123speak5,science,-0.6275767,,1,1.0,0.0
@123telamon,denial,-0.8769344,,1,1.0,0.0
@127cmore,science,-0.5173514,,1,1.0,0.0
@12floz67,science,-0.59029048,0.26631642485201545,4,0.5,0.0
@12lippylucy,science,-0.23940306799999997,0.3767586015127135,2,0.5,0.0
@12mjk21,denial,0.20533031,,1,0.0,0.0
@1313Anonymous,science,0.88462317,,1,0.0,1.0
@132stoney,denial,-0.54577875,,1,1.0,0.0
@1337rooster,denial,0.31358454,,1,0.0,0.0
@138Syzygy,science,0.9419479,,1,0.0,1.0
@13_cmi,denial,-0.5666489533333333,0.2786024046704014,3,0.3333333333333333,0.0
@13booch,denial,-0.48336872999999997,0.4647335292819163,2,0.5,0.0
@13minutestomidnight,denial,-0.57384276,,1,1.0,0.0
@13schwab,science,-0.14196588,,1,0.0,0.0
@13strange67,science,0.21642542,,1,0.0,0.0
@13thAMG,denial,0.9439814,,1,0.0,1.0
@13thcentury,denial,0.28053105,,1,0.0,0.0
@14goldmedals,denial,-0.09555301499999996,0.9367657511196299,2,0.5,0.5
@14guitars67,denial,0.940592,0.0,2,0.0,1.0
@14qiany1,science,-0.69370145,,1,1.0,0.0
@14soccerplayer1,denial,-0.1787846233333333,0.8460215374374559,3,0.6666666666666666,0.3333333333333333
@153ichthus,denial,-0.7928495,,1,1.0,0.0
@1618Cyrano,science,0.6315763,,1,0.0,1.0
@1678felipe,denial,-0.1798699,,1,0.0,0.0
@16m49x3,denial,-0.4705574653333333,0.44472763403460075,3,0.6666666666666666,0.0
@17-3Y.IDRuckler,science,-0.0305541,,1,0.0,0.0
@17-MASY,science,-0.26835832,,1,0.0,0.0
