camp,community,community_size,mean_compound,pct_negative,active_users
denial,10,511,-0.059192981201383436,0.3575381263616558,510
denial,2,482,-0.15076010260991685,0.4617810117810118,481
denial,3,460,-0.2905974811743789,0.4630342682262795,458
denial,12,386,-0.17463079299101103,0.40396024341194053,383
denial,5,385,-0.1972884373049996,0.42372844169719165,384
denial,11,256,-0.38015972487699345,0.5689542483660132,255
denial,31,244,-0.2677141044794631,0.4637402834933699,243
denial,37,231,-0.1674862005089298,0.4135411525760745,230
denial,16,225,-0.12392914750927933,0.3557079081632653,224
denial,14,219,-0.30774796252263764,0.4882916377907362,217
denial,1,214,-0.45940039464392235,0.6139827153978097,212
denial,18,210,-0.4847474005942052,0.6951887293992558,209
denial,4,196,-0.22792975926833897,0.38584331766769725,193
denial,30,195,-0.23417563291792926,0.4180261270782454,193
denial,143,190,-0.269207889998552,0.48752955082742316,188
denial,17,188,-0.35514980564297005,0.47277893277893274,185
denial,20,188,-0.3287636967670724,0.48559189763868826,186
denial,35,185,-0.059350471419415116,0.11167184265010352,184
denial,15,174,-0.24547734669321497,0.45406000550509223,173
denial,135,133,-0.13616331600989517,0.4137461449706694,128
denial,27,128,-0.2712091418043959,0.4272959183673469,126
denial,51,125,-0.2397030271366631,0.46050179331552266,124
denial,29,124,-0.026597034622131147,0.3605191256830601,122
denial,6,99,0.5573399272372912,0.09336734693877552,98
denial,0,57,-0.2413304468499123,0.5046909775723335,57
denial,43,42,-0.34742145203852987,0.5005102040816327,42
denial,84,27,-0.26979403205895763,0.42324985970819307,24
denial,68,17,-0.43006266094177825,0.6748511904761905,16
denial,57,16,-0.17211239582022006,0.3454442383013811,14
denial,265,13,-0.5373242736410256,0.7423076923076923,13
denial,329,13,-0.18690160122008548,0.40961538461538466,12
denial,22,12,-0.43506773777636365,0.5454545454545454,11
denial,63,11,-0.17938922094833334,0.2958333333333333,10
denial,157,10,-0.23909837254545457,0.546969696969697,10
denial,77,9,-0.19615440569494047,0.36279761904761904,8
denial,450,9,-0.37276399809191174,0.5079656862745098,8
denial,64,8,-0.47472248867559524,0.7351190476190477,8
denial,158,8,-0.38695654967687076,0.6139455782312925,7
denial,169,8,-0.5182786420476191,0.6904761904761905,7
denial,47,7,-0.311993868047619,0.36507936507936506,7
denial,55,7,-0.4733522611428571,0.6666666666666666,6
denial,69,7,-0.46020522387500007,0.6666666666666666,6
denial,140,7,-0.11519218503333334,0.27777777777777773,6
denial,246,7,-0.20152037361944444,0.47222222222222227,6
denial,28,6,-0.0407349608,0.0,5
denial,58,6,0.23057937044722218,0.21944444444444447,5
denial,75,6,-0.027429107649275374,0.4695652173913043,5
denial,230,6,-0.13379164268181815,0.6090909090909091,5
denial,288,6,-0.2139088716,0.30666666666666664,5
denial,370,6,-0.3885376317,0.5,5
denial,536,6,-0.23155726031666665,0.25,6
denial,553,6,-0.6218209337352941,0.6617647058823529,6
