in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity
2,2,0.00046143556581046614,0.0,-1.0061942026412076e-18,0.0,0.013588228939796552,@-LightningRod-,science,5
2,0,0.0006423179697581825,0.0,1.5959257419603718e-17,0.0,0.02177813770422567,@john2909,science,1
0,2,0.00024966984898537066,0.0,-5.1053582638873036e-18,0.0,0.0,@-Mitra-,science,2
2,0,0.00046143556581046614,0.0,-6.103120643133085e-18,0.0,0.013588228939796552,@Daniel_TBR,science,1
0,2,0.00024966984898537066,0.0,1.4934131023377788e-19,0.0,0.0,@07Flash11MRC,science,2
2,0,0.00046143556581046614,0.0,-9.477325501065164e-19,0.0,0.013588228939796552,@surfbum8166,science,1
0,2,0.00024966984898537066,0.0,6.986335530331327e-20,0.0,0.0,@0Tony1,science,2
2,0,0.00046143556581046614,0.0,5.76844353110638e-18,0.0,0.013588228939796552,@jennitro,science,1
7,7,0.0006732012826355617,0.0,-4.580659032861693e-18,0.0,0.03317645787959311,@1000frolly,science,14
31,0,0.0031696397985238006,0.0,8.322449253554719e-17,0.0,0.1942090317226589,1000frolly PhD,science,0
2,0,0.00041353571319123586,0.0,4.5824540357063924e-17,0.0,0.011419441848187082,@CNCmachiningisfun,science,1
0,2,0.00024966984898537066,0.0,3.408524329539252e-18,0.0,0.0,@10_MILES_HIGH_,science,2
2,0,0.00046143556581046614,0.0,-1.7558898572057225e-18,0.0,0.013588228939796552,@konstantinlyskoit1126,science,1
0,2,0.00024966984898537066,0.0,-1.9980026549842357e-18,0.0,0.0,@12345bil12345,science,2
4,0,0.0006732012826355617,0.0,-4.903028334571139e-18,0.0,0.027176457879593108,@JoaDrath,science,1
0,2,0.00024966984898537066,0.0,5.653072555541334e-19,0.0,0.0,@17MrLeon,science,5
4,0,0.0005461418525405043,0.0,-3.547354372640071e-18,0.0,0.021423520515715173,@dylanfinch2951,science,1
0,4,0.00024966984898537066,0.0,-1.6172022387713556e-21,0.0,0.0,@1caramarie,science,4
4,0,0.00046143556581046614,0.0,-7.411899989220888e-19,0.0,0.01758822893979655,@philippschwartzerdt3431,science,1
0,2,0.00024966984898537066,0.0,2.4249812267698715e-18,0.0,0.0,@1faithchick7,science,5
2,0,0.00046143556581046614,0.0,-6.801559078939615e-20,0.0,0.013588228939796552,@Figs4Life,science,1
0,2,0.00024966984898537066,0.0,1.4276435770847224e-18,0.0,0.0,@1stdefenseinc,science,2
2,0,0.00046143556581046614,0.0,3.704266973303358e-19,0.0,0.013588228939796552,@Jaggerjaw99,science,1
0,3,0.00024966984898537066,0.0,1.4398736952709409e-18,0.0,0.0,@20-Foot-Anaconda,science,8
