camp,sci_total,denial_total,sci_per_comment,denial_per_comment,pct_lean_science,pct_lean_denial
denial,17169,10112,0.425459681815929,0.25058234623581305,0.16214006046488577,0.12008722803191753
science,13169,5760,0.4334189046866772,0.1895734597156398,0.1732490784623486,0.08632833070036862
