in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity,mean_compound,pct_negative,n_comments
2,0,0.0004614355658104,0.0,-5.889535282467949e-19,0.0,0.0135882289397965,@thesoundsmith,science,2,-0.69247445,1.0,2.0
0,2,0.0002496698489853,0.0,1.1994112006048285e-18,0.0,0.0,@AJDOLDCHANNELARCHIVE,science,2,-0.08407764100000001,0.0,2.0
2,0,0.0004614355658104,0.0,7.930277999828093e-18,0.0,0.0135882289397965,@JDCypr3ss,science,1,-0.22491549,0.0,1.0
0,2,0.0002496698489853,0.0,1.2117903991880477e-18,0.0,0.0,@ARLGD,science,3,0.98006179,0.0,3.0
2,0,0.0004614355658104,0.0,7.028167672402499e-18,0.0,0.0135882289397965,@Rogar0,science,1,0.9856068,0.0,1.0
0,2,0.0002496698489853,0.0,2.988073915520171e-18,0.0,0.0,@AVToth,science,2,-0.07507083,0.5,2.0
2,0,0.0004614355658104,0.0,-3.4338951031537685e-19,0.0,0.0135882289397965,@gerhardstrauss723,science,1,-0.7463536,1.0,1.0
0,2,0.0002496698489853,0.0,-1.853036544060483e-18,0.0,0.0,@AbhiKumar-p4d1y,science,3,0.96392357,0.0,3.0
8,0,0.0014584975241811,0.0,-2.781926578755697e-17,0.0,0.0707327332880444,DW Documentary,science,0,0.0,,
2,3,0.0004614355658104,0.0,-2.840605161816689e-19,0.0,0.0135882289397965,@AdnanKhan-vr4nd,science,3,0.3456147216666667,0.0,3.0
3,0,0.0006423179697581,0.0,1.5430330528754917e-18,0.0,0.0237781377042256,Shekhar,science,0,0.0,,
0,2,0.0002496698489853,0.0,2.108614279085209e-18,0.0,0.0,@Adodang,science,2,-0.494792107,0.5,2.0
2,0,0.0004614355658104,0.0,7.601704646377177e-19,0.0,0.0135882289397965,@Johan-kk1sh,science,1,-0.56695575,1.0,1.0
0,2,0.0002496698489853,0.0,-9.275721071305582e-19,0.0,0.0,@AfterTheIce-q4j,science,3,-0.31188808333333334,0.6666666666666666,3.0
2,0,0.0004614355658104,0.0,3.777335205286397e-18,0.0,0.0135882289397965,@jaredmatthews252,science,1,-0.2733683,0.0,1.0
0,2,0.0002496698489853,0.0,-7.923553430890043e-19,0.0,0.0,@Aizensosukke,science,2,-0.04963108299999999,0.0,2.0
2,0,0.0004614355658104,0.0,1.1625181579839273e-18,0.0,0.0135882289397965,@germanyoutubedeutschland9899,science,1,0.421006985,0.0,2.0
0,2,0.0002496698489853,0.0,-3.6005827833055174e-18,0.0,0.0,@Alex-fu3mi,science,2,-0.103138409,0.0,2.0
4,0,0.0006732012826355,0.0,-2.186389638251988e-18,0.0,0.0271764578795931,@LactationDuct,science,1,-0.12807518,1.0,1.0
0,2,0.0002496698489853,0.0,2.003611684483554e-18,0.0,0.0,@AlexMx-c3f,science,3,0.9648059766666667,0.0,3.0
2,2,0.0004614355658104,0.0,-2.1969939432811595e-18,0.0,0.0135882289397965,@Alexandra9390,science,2,-0.891014635,1.0,2.0
6,0,0.0010658494034083,0.0,-6.4003574815553645e-18,0.0,0.0489545955838187,BBC,science,0,0.0,,
0,2,0.0002496698489853,0.0,-1.5057354151940629e-18,0.0,0.0,@AllOne95,science,2,-0.23451036,0.0,2.0
2,0,0.0004614355658104,0.0,-5.0029519032697185e-18,0.0,0.0135882289397965,@MattFenlon,science,1,0.29762068,0.0,1.0
0,4,0.0002496698489853,0.0,-2.8922540651488106e-18,0.0,0.0,@AlsanPine,science,5,-0.6890920042857143,0.7142857142857143,7.0
2,0,0.0003555527073979,0.0,-3.2457023875449004e-18,0.0,0.0087941144698982,@bibliotek42,science,1,0.8617833,0.0,1.0
2,0,0.0003555527073979,0.0,-4.926595719880759e-18,0.0,0.0087941144698982,@warpmonkey,science,1,0.40027636,0.0,1.0
0,2,0.0002496698489853,0.0,-2.0773391669509281e-19,0.0,0.0,@AmericatheBeautiful-p4z,science,17,-0.42023788764705877,0.5882352941176471,17.0
2,0,0.0004614355658104,0.0,1.997033730403143e-18,0.0,0.0135882289397965,@domalash,science,1,0.97168636,0.0,1.0
0,2,0.0002496698489853,0.0,-5.63816083488428e-19,0.0,0.0,@AmitTomar-b8w,science,2,0.871177215,0.0,2.0
4,0,0.0006732012826355,0.0,3.228532620218661e-18,0.0,0.0271764578795931,Khan Global Studies,science,0,0.0,,
0,2,0.0002496698489853,0.0,-2.4887423334188213e-19,0.0,0.0,@AmorWithoutBorders,science,2,0.14804585,0.0,2.0
2,0,0.0004614355658104,0.0,1.7077115507431948e-18,0.0,0.0135882289397965,Johnny Harris,science,0,0.0,,
0,2,0.0002496698489853,0.0,-4.765618678877504e-19,0.0,0.0,@Andomosity,science,2,-0.432244685,0.5,2.0
2,0,0.0004614355658104,0.0,1.3167705073786965e-18,0.0,0.0135882289397965,@gerretw,science,1,0.08113461666666667,0.0,3.0
0,3,0.0002496698489853,0.0,3.776033252366807e-19,0.0,0.0,@AnkurShah,science,3,0.9829768466666667,0.0,3.0
17,0,0.001647323580031,0.0,-5.021858895181592e-19,0.0,0.0972823110026572,zentouro,science,0,0.0,,
0,2,0.0002496698489853,0.0,3.4185194578969817e-19,0.0,0.0,@Anonymous-so3mg,science,2,0.67763048,0.0,2.0
2,0,0.0004614355658104,0.0,3.2186866259034243e-18,0.0,0.0135882289397965,@TheZZcube,science,1,-0.22950637,0.0,1.0
0,2,0.0002496698489853,0.0,-2.7890557199233692e-18,0.0,0.0,@AnonymousBosch3158,science,2,-0.81637918,1.0,2.0
2,0,0.0004614355658104,0.0,-1.0631449254208525e-18,0.0,0.0135882289397965,@ikik3406,science,1,-0.516358932,0.6666666666666666,3.0
0,2,0.0002496698489853,0.0,-1.897197675156911e-18,0.0,0.0,@AnuragDDethe,science,2,-0.5931758,1.0,2.0
2,0,0.0004614355658104,0.0,-2.7390308693969717e-18,0.0,0.0135882289397965,@JoyHomfeld,science,1,0.069774464,0.0,1.0
0,2,0.0002496698489853,0.0,2.4183720416873352e-18,0.0,0.0,@AnyelinaL,science,2,-0.8364165699999999,1.0,2.0
2,0,0.0004614355658104,0.0,4.563232608295775e-18,0.0,0.0135882289397965,@raiu,science,1,-0.4353967,1.0,1.0
0,2,0.0002496698489853,0.0,6.35841565966024e-19,0.0,0.0,@Apenimon15,science,2,0.05303775299999999,0.0,2.0
4,0,0.0006732012826355,0.0,-9.42729796938789e-19,0.0,0.0271764578795931,@bibliophile2707,science,1,-0.8232721,1.0,1.0
0,2,0.0002496698489853,0.0,-4.145664398073093e-20,0.0,0.0,@AppleOfThineEye,science,2,-0.7584825,1.0,2.0
4,0,0.0006732012826355,0.0,6.202243994346239e-19,0.0,0.0271764578795931,@bernardqblack,science,1,-0.58306015,1.0,1.0
0,2,0.0002496698489853,0.0,1.452178385023646e-18,0.0,0.0,@Aqyar,science,2,0.67597935,0.0,2.0
2,0,0.0004614355658104,0.0,8.618637868589382e-18,0.0,0.0135882289397965,@frane9832,science,0,0.0,,
0,2,0.0002496698489853,0.0,-2.935021283613663e-19,0.0,0.0,@Arctic_lonewolf,science,2,-0.878314435,1.0,2.0
2,0,0.0004614355658104,0.0,5.503217709376132e-19,0.0,0.0135882289397965,@wtpauley,science,1,-0.19591771,1.0,1.0
0,2,0.0002496698489853,0.0,-3.7228707791936635e-19,0.0,0.0,@ArcusDraco,science,2,-0.18178524499999998,0.0,2.0
2,0,0.0004614355658104,0.0,3.462973834551945e-18,0.0,0.0135882289397965,@shortycrust,science,1,0.18982232,0.0,1.0
0,2,0.0002496698489853,0.0,-3.163614215268549e-18,0.0,0.0,@Arthur_da_dog,science,2,-0.6336242000000001,1.0,2.0
2,0,0.0004614355658104,0.0,1.2760487703376165e-18,0.0,0.0135882289397965,@UpcycleElectronics,science,1,-0.6079712,1.0,1.0
0,2,0.0002496698489853,0.0,2.125929822489944e-19,0.0,0.0,@ArunKumar-p6h7o,science,2,0.0400759335,0.0,2.0
4,0,0.0006732012826355,0.0,2.5653781393281857e-19,0.0,0.0271764578795931,Devam Project,science,0,0.0,,
0,2,0.0002496698489853,0.0,-3.755820611737893e-18,0.0,0.0,@AstrumEarth,science,2,0.8491894600000001,0.0,2.0
2,0,0.0004614355658104,0.0,-1.8085603919220132e-18,0.0,0.0135882289397965,Astrum Earth,science,0,0.0,,
0,2,0.0002496698489853,0.0,-1.5802279549853511e-19,0.0,0.0,@AudioPervert1,science,4,-0.76251411,1.0,4.0
4,0,0.000567318424223,0.0,3.7654906176638215e-18,0.0,0.0223823434096948,@mitchellkrouth5083,science,1,-0.2878198,1.0,1.0
5,2,0.0006732012826355,0.0,8.186732996097573e-19,0.0,0.0291764578795931,@AussiePrepper152,science,2,0.25196722935,0.0,2.0
8,0,0.0014584975241811,0.0,-9.161115077550626e-18,0.0,0.0707327332880444,The Randall Carlson,science,0,0.0,,
0,2,0.0002496698489853,0.0,-1.412796771649589e-18,0.0,0.0,@AvianAndLoaded,science,4,-0.5089961199999999,0.75,4.0
2,0,0.0004614355658104,0.0,-1.6585352376246718e-18,0.0,0.0135882289397965,@lindalembeck7286,science,1,0.10818076,0.0,1.0
0,2,0.0002496698489853,0.0,1.0115772017410565e-18,0.2295081967213114,0.0550351288056206,@BB-yf6tm,science,2,0.16607583000000004,0.0,2.0
2,2,0.0004614355658104,0.0,5.215679103588907e-18,0.296969696969697,0.0848003501519177,@D.g.s-g6q,science,2,0.013551831399999997,0.0,5.0
0,2,0.0002496698489853,0.0,-8.16726387571543e-19,0.0,0.0,@BBCWorldService,science,2,0.30540222,0.0,2.0
6,0,0.0008849669994606,0.0,2.6299155702018997e-18,0.0,0.0407646868193896,BBC World Service,science,0,0.0,,
0,2,0.0002496698489853,0.0,-1.5164510389544265e-18,0.0,0.0,@BackToBackJames,science,2,-0.46822099,0.5,2.0
4,0,0.0006732012826355,0.0,6.7332479776602636e-18,0.0,0.0271764578795931,@MASTERTINTIN,science,1,-0.6246398,1.0,1.0
0,2,0.0002496698489853,0.0,8.728518499894527e-19,0.0,0.0,@BandAid350z,science,2,-0.7470017250000001,1.0,2.0
2,0,0.0004614355658104,0.0,4.9085410498892636e-18,0.0,0.0135882289397965,@camdenrafftery3555,science,1,0.16329160199999998,0.0,2.0
0,2,0.0002496698489853,0.0,2.8574715924715908e-18,0.0,0.0,@BarrGC,science,4,-0.089700885,0.25,4.0
2,0,0.0004614355658104,0.0,9.96239111096056e-19,0.0,0.0135882289397965,@trigger9779,science,1,-0.7256059,1.0,1.0
0,2,0.0002496698489853,0.0,-1.0577307954623777e-18,0.0,0.0,@Battleneter,science,2,-0.78036975,1.0,2.0
2,0,0.0004614355658104,0.0,-8.58411935830472e-19,0.0,0.0135882289397965,@aletheiai,science,1,-0.82898074,1.0,1.0
0,2,0.0002496698489853,0.0,-2.4235825761918613e-18,0.0,0.0,@BeeRich33,science,2,-0.6076655200000001,1.0,2.0
2,0,0.0004614355658104,0.0,-1.745973846939807e-18,0.0,0.0135882289397965,@MrHamburgers1994,science,1,0.43476173,0.0,1.0
0,2,0.0002496698489853,0.0,-3.1548500833138464e-18,0.0,0.0,@BerndFelsche,science,2,-0.07625381,0.5,2.0
2,0,0.0004614355658104,0.0,1.6358034787956317e-18,0.0,0.0135882289397965,@alterego-bg8gs,science,1,0.95477736,0.0,1.0
0,2,0.0002496698489853,0.0,-1.2200785228186561e-19,0.0,0.0,@BigBensAxles,science,2,-0.8677503,1.0,2.0
2,0,0.0004614355658104,0.0,-3.4948729106048115e-18,0.0,0.0135882289397965,@0649Hayes,science,1,-0.9327206,1.0,1.0
0,2,0.0002496698489853,0.0,-5.745038208194943e-19,0.0,0.0,@BigFatHeretic,science,2,-0.56655908,1.0,2.0
2,0,0.0004614355658104,0.0,-1.4591285599402874e-18,0.0,0.0135882289397965,@nosondre,science,1,-0.8147768,1.0,1.0
0,3,0.0002496698489853,0.0,1.814654649879375e-18,0.0,0.0,@BigNewGames,science,3,0.21474088233333333,0.0,3.0
7,0,0.0007445918500488,0.0,-8.149294222887812e-19,0.0,0.0364088465530886,David Dilley GlobalWeatherCycles,science,0,0.0,,
0,2,0.0002496698489853,0.0,-2.3852537577578933e-18,0.0,0.0,@BillyTheKidCENTURION,science,3,-0.43297968666666664,0.6666666666666666,3.0
2,0,0.0004614355658104,0.0,-3.898225310970124e-18,0.0,0.0135882289397965,@hocuspocus1237,science,1,-0.42298514,1.0,1.0
0,2,0.0002496698489853,0.0,-7.094415172218432e-19,0.0,0.0,@BipoIarbear,science,2,0.109370827,0.0,2.0
2,0,0.0004614355658104,0.0,-4.125612912575157e-18,0.0,0.0135882289397965,@ianbeel4887,science,1,-0.5668833,1.0,1.0
0,2,0.0002496698489853,0.0,3.495644281963071e-20,0.0,0.0,@BlickQuickly1,science,2,0.08705576500000001,0.0,2.0
4,0,0.0006732012826355,0.0,-2.0358587872437494e-18,0.0,0.0271764578795931,@TimjoeMontour,science,0,0.0,,
