camp,nodes,edges,density,avg_in_degree,avg_out_degree,max_in_degree,max_out_degree,num_components,largest_cc_fraction,reciprocity,avg_clustering,avg_path_lcc,diameter_lcc,num_communities,modularity,ei_index
science,2698,1657,0.00022771918280559378,0.6141586360266864,0.6141586360266864,41,17,1044,0.03669384729429207,0.0012070006035003018,6.259293111542439e-05,4.339105339105339,11,1046,0.9946220607000579,-0.9978201634877384
denial,7970,7678,0.0001208887702078931,0.9633626097867001,0.9633626097867001,206,20,858,0.7051442910915935,0.0,0.0004884000740266555,8.152225385527876,19,885,0.9430586161370649,-0.9541191230061533
