author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type,mean_compound,n_comments
@PaulaTourville-po7fg,3,2,5,0.6,balanced,-0.525981625,5
@SelfSustainableCity,4,1,5,0.8,science-leaning,0.2032079175,5
@robertjanicki5906,2,3,5,0.4,balanced,0.4473788865,5
@davestagner,3,2,5,0.6,balanced,0.3398120435,5
@EnvironmentalCoffeehouse,2,3,5,0.4,balanced,0.05933670000000002,5
@turbochicken80,3,2,5,0.6,balanced,-0.20752010833333334,5
@CHMichael,2,3,5,0.4,balanced,-0.31233118199166665,5
@Meekseek,3,2,5,0.6,balanced,-0.5109464216666667,5
@chicxulub2947,1,4,5,0.2,denial-leaning,-0.49413563875,5
@SabineHossenfelder,3,2,5,0.6,balanced,0.18864350166666666,5
@Dan-l2y2r,4,1,5,0.8,science-leaning,-0.32470079500000004,5
@christianlibertarian5488,4,1,5,0.8,science-leaning,-0.70490715875,5
@robertmarmaduke9721,1,4,5,0.2,denial-leaning,-0.56898081,5
@kimwarburton8490,1,4,5,0.2,denial-leaning,-0.5905078300000001,5
@richardconnelly7141,3,2,5,0.6,balanced,-0.322095485,5
@MrDavidBFoster,3,2,5,0.6,balanced,0.16317170633333333,5
@DHD-p4v,3,2,5,0.6,balanced,-0.47832577833333334,5
@MrLoobu,3,2,5,0.6,balanced,-0.40529361,5
@CarlosOddone-z6k,4,1,5,0.8,science-leaning,0.17372410662499999,5
@potholer54,3,2,5,0.6,balanced,-0.14963624916666665,5
@criticalbiker1273,1,4,5,0.2,denial-leaning,0.04317544275000001,5
@trevormarr8379,1,4,5,0.2,denial-leaning,0.039007821250000005,5
@DANGJOS,1,4,5,0.2,denial-leaning,-0.15408814,5
@kameronbriggs235,3,2,5,0.6,balanced,-0.12296684316666666,5
@PaulBowman-y1r,1,4,5,0.2,denial-leaning,-0.46563041250000003,5
@Pecisk,2,3,5,0.4,balanced,-0.5568683258333333,5
@kenvandeburgt1232,3,2,5,0.6,balanced,-0.21212703249999998,5
@freedomruss,3,2,5,0.6,balanced,-0.33404552583333336,5
@vigilantcosmicpenguin8721,2,3,5,0.4,balanced,-0.15499691249999997,5
@savedfaves,2,3,5,0.4,balanced,-0.15539671916666667,5
@rRekko,3,2,5,0.6,balanced,-0.047700731666666635,5
@kenwoodburn7438,2,3,5,0.4,balanced,-0.26542832008333334,5
@CougarDoomer,2,3,5,0.4,balanced,-0.6524655521666667,5
@carlstephens1532,2,3,5,0.4,balanced,-0.5899467383333333,5
@Mythhammer,1,4,5,0.2,denial-leaning,-0.34567023124999996,5
@Leafsdude_,3,2,5,0.6,balanced,-0.612197695,5
@Briggsian,2,3,5,0.4,balanced,-0.34616858166666664,5
@remcovanek2,4,1,5,0.8,science-leaning,-0.5700604545000001,5
@robertwadas,1,4,5,0.2,denial-leaning,0.23651569725000002,5
@Pacdoc-Oz,4,1,5,0.8,science-leaning,0.029174681249999987,5
@robotnoir5299,3,2,5,0.6,balanced,-0.30789104666666667,5
@kenmarriott5772,4,1,5,0.8,science-leaning,-0.460111513125,5
@DaveE99,1,4,5,0.2,denial-leaning,-0.16323989675,5
@MCshlthead,2,3,5,0.4,balanced,-0.35044538000000003,5
@johndaddyo444,1,4,5,0.2,denial-leaning,-0.12416924712499999,5
@craigwiggins253,3,1,4,0.75,science-leaning,0.9579154333333334,4
@jr1648,1,3,4,0.25,denial-leaning,-0.6865599099999999,4
@conormcmenemie5126,2,2,4,0.5,balanced,-0.50370702425,4
@gsully_69,1,3,4,0.25,denial-leaning,-0.8350036483333334,4
@jeffjests2764,1,3,4,0.25,denial-leaning,-0.6158454288333333,4
@jeffbenton6183,2,2,4,0.5,balanced,-0.40427700425,4
@critiqueofthegothgf,2,2,4,0.5,balanced,0.11288551000000002,4
@bernzeppi,3,1,4,0.75,science-leaning,0.03295169599999999,4
@louisholmes6961,2,2,4,0.5,balanced,-0.20582556999999999,4
@j.w.r3730,2,2,4,0.5,balanced,-0.1289405275,4
@jp4431,1,3,4,0.25,denial-leaning,-0.38255294166666665,4
@goodbeans5,2,2,4,0.5,balanced,-0.250585715,4
@madshorn5826,3,1,4,0.75,science-leaning,-0.28264965,4
@jean6453,2,2,4,0.5,balanced,-0.3267000375,4
@juzeus9,2,2,4,0.5,balanced,-0.50392237,4
@jbaggaz,2,2,4,0.5,balanced,-0.2530933675,4
@crazyworldlarue8388,3,1,4,0.75,science-leaning,0.44067212,4
@jayday545,2,2,4,0.5,balanced,-0.4829393375,4
@harrydecker8731,2,2,4,0.5,balanced,0.018200398750000013,4
@joedon1706,1,3,4,0.25,denial-leaning,-0.163664175,4
@glenndavis4452,2,2,4,0.5,balanced,-0.385918,4
@dougcard5241,2,2,4,0.5,balanced,-0.867394635,4
@gbuz5789,2,2,4,0.5,balanced,-0.20925578425,4
@frankenz66,2,2,4,0.5,balanced,-0.683434655,4
@carlbrenninkmeijer8925,2,2,4,0.5,balanced,-0.04330541400000002,4
@deepashtray5605,3,1,4,0.75,science-leaning,-0.33204037233333333,4
@gene-fd4xg,1,3,4,0.25,denial-leaning,0.9380356416666666,4
@coolramone,1,3,4,0.25,denial-leaning,-0.26774315833333334,4
@joeking1019,2,2,4,0.5,balanced,-0.39221401825,4
@australienski6687,1,3,4,0.25,denial-leaning,0.2139331505,4
@ignaciocasodedios3184,2,2,4,0.5,balanced,0.12988328500000001,4
@brooksanderson2599,1,3,4,0.25,denial-leaning,-0.06492753866666669,4
@dkvikingkd233,1,3,4,0.25,denial-leaning,-0.765075105,4
@geoffreytoomey682,1,3,4,0.25,denial-leaning,-0.35999326666666664,4
@kruse8888,2,2,4,0.5,balanced,-0.37590464,4
@donkey1271,3,1,4,0.75,science-leaning,0.012242313333333338,4
@leeuniverse,2,2,4,0.5,balanced,-0.16962091,4
@hime273,2,2,4,0.5,balanced,-0.8379517249999999,4
@keepitreal2902,2,2,4,0.5,balanced,-0.48809047,4
@jameseames4754,3,1,4,0.75,science-leaning,0.11906345500000004,4
@dougpatterson7494,1,3,4,0.25,denial-leaning,-0.3169640983333333,4
@downtoearth1950,2,2,4,0.5,balanced,-0.54456404,4
@karlostj4683,2,2,4,0.5,balanced,-0.677903675,4
@johnj4Clim8,2,2,4,0.5,balanced,0.152697995,4
@chrisconklin2981,1,3,4,0.25,denial-leaning,0.132614585,4
@jim7634,1,3,4,0.25,denial-leaning,-0.6715549350000001,4
@gingef5197,2,2,4,0.5,balanced,-0.03958009500000001,4
@fellinuxvi3541,2,2,4,0.5,balanced,-0.645383875,4
@ducthman4737,2,2,4,0.5,balanced,-0.636987155,4
@karenfrenchvanilla,3,1,4,0.75,science-leaning,-0.548802235,4
@johnnyllooddte3415,3,1,4,0.75,science-leaning,0.27078176666666665,4
@echelonrank3927,3,1,4,0.75,science-leaning,-0.2656763661666667,4
@klaasdykstra8127,2,2,4,0.5,balanced,-0.7424679075,4
@hagerty1952,3,1,4,0.75,science-leaning,-0.39932028,4
@philipoakley5498,2,2,4,0.5,balanced,-0.448871655,4
@romanpolanski4928,2,2,4,0.5,balanced,-0.2909250415,4
@thomasneal9291,1,3,4,0.25,denial-leaning,-0.7313064883333333,4
@peterweissmann7794,1,3,4,0.25,denial-leaning,0.15775692333333335,4
@LabGecko,3,1,4,0.75,science-leaning,-0.65830459,4
@stormytrails,2,2,4,0.5,balanced,0.6595275365,4
@transsylvanian9100,3,1,4,0.75,science-leaning,-0.46104033083333334,4
@rumples2698,1,3,4,0.25,denial-leaning,-0.75582145,4
@Kenneth-ts7bp,3,1,4,0.75,science-leaning,-0.31459617333333334,4
@ShopBH-n8d,2,2,4,0.5,balanced,0.4756766825,4
@Chino780,1,3,4,0.25,denial-leaning,0.6087267233333333,4
@troothcentral-qz9pz,1,3,4,0.25,denial-leaning,-0.0612603575,4
@tuoratoo,3,1,4,0.75,science-leaning,-0.049563908500000003,4
@pattybaselines,2,2,4,0.5,balanced,0.05379724125,4
@patrick247two,3,1,4,0.75,science-leaning,-0.1747312445,4
@BufordTGleason,2,2,4,0.5,balanced,-0.06624217500000001,4
@KeizerPaPa,2,2,4,0.5,balanced,0.04051045675000001,4
@FrederikFalk21,3,1,4,0.75,science-leaning,-0.40947700833333334,4
@KateeAngel,2,2,4,0.5,balanced,-0.38500532000000004,4
@oldmanfromscenetwentyfour8164,3,1,4,0.75,science-leaning,-0.4421965116666666,4
@BradThePitts,1,3,4,0.25,denial-leaning,-0.6969969166666666,4
@Bookhermit,2,2,4,0.5,balanced,-0.8930253699999999,4
@richardhuzzey1294,2,2,4,0.5,balanced,-0.28829430749999996,4
@LecherousLizard,2,2,4,0.5,balanced,-0.56176527,4
@Richard482,2,2,4,0.5,balanced,-0.17913598,4
@nyoodmono4681,3,1,4,0.75,science-leaning,-0.5282026533333333,4
@planefan082,1,3,4,0.25,denial-leaning,-0.6075268966666667,4
@EmilyJelassi,2,2,4,0.5,balanced,0.8346410900000001,4
@MrRobtwothirds,1,3,4,0.25,denial-leaning,0.18221898166666667,4
@Michael-hm8cs,2,2,4,0.5,balanced,0.192277115,4
@Mrbfgray,3,1,4,0.75,science-leaning,-0.13754050666666667,4
@robbabcock_,1,3,4,0.25,denial-leaning,0.24981114500000004,4
@MauriatOttolink,3,1,4,0.75,science-leaning,-0.15964945666666666,4
@rapauli,3,1,4,0.75,science-leaning,0.344006805,4
@robertmoeller4352,1,3,4,0.25,denial-leaning,-0.23665793666666662,4
@NeilÇedilla,3,1,4,0.75,science-leaning,-0.32025898166666666,4
@randyohm3445,1,3,4,0.25,denial-leaning,-0.32552757833333335,4
@DrSmooth2000,3,1,4,0.75,science-leaning,-0.30647871916666664,4
@Noumenon4Idolatry,1,3,4,0.25,denial-leaning,-0.6059060706666666,4
@psikeyhackr6914,3,1,4,0.75,science-leaning,-0.19411700333333332,4
@Dodger481,2,2,4,0.5,balanced,0.40514371247500003,4
@stowcreek1999,1,3,4,0.25,denial-leaning,0.9662413000000001,4
@rogerphelps9939,1,3,4,0.25,denial-leaning,-0.40100199166666667,4
@praem9597,2,2,4,0.5,balanced,-0.5067861685,4
@PhongNguyễnNgọc-p4v,2,2,4,0.5,balanced,0.98113776,4
@ppetal1,2,2,4,0.5,balanced,-0.3705759155,4
@plasmaastronaut,2,2,4,0.5,balanced,-0.3444379755,4
@Deep-Time-Capsules,3,1,4,0.75,science-leaning,0.28444393,4
@TCRgalaxy,2,2,4,0.5,balanced,-0.3420072275,4
@user-jz7mo6un1u,2,2,4,0.5,balanced,-0.20672153999999998,4
@Midwest7852,1,3,4,0.25,denial-leaning,-0.6462263800000001,4
@augustus331,2,2,4,0.5,balanced,-0.5679708175,4
@aarontoussaint8364,2,2,4,0.5,balanced,-0.4360356925,4
@aditisk99,2,2,4,0.5,balanced,-0.237428015,4
@GhostOnTheHalfShell,2,2,4,0.5,balanced,0.11777191249999998,4
@Bertmussen,2,2,4,0.5,balanced,-0.662738055,4
@5353Jumper,1,3,4,0.25,denial-leaning,-0.6262145750000001,4
@Google_ai_told_me_my_iq_is155,3,1,4,0.75,science-leaning,-0.26648831,4
@Intelli24U,1,3,4,0.25,denial-leaning,-0.6351874083333333,4
@melsop54,3,1,4,0.75,science-leaning,-0.25623589933333335,4
@2adamast,1,3,4,0.25,denial-leaning,-0.05977008366666667,4
@apumasterp,1,3,4,0.25,denial-leaning,-0.16662022499999998,4
@andrew30m,1,3,4,0.25,denial-leaning,-0.46497209,4
@maxtabmann6701,2,2,4,0.5,balanced,-0.05583594250000001,4
@GordoGambler,1,3,4,0.25,denial-leaning,-0.4109574833333334,4
@Greg-yu4ij,1,3,4,0.25,denial-leaning,-0.20553785666666669,4
@matthewstone1362,3,1,4,0.75,science-leaning,-0.455891192,4
@antred11,1,3,4,0.25,denial-leaning,0.15888242833333333,4
@1dayUllC,3,1,4,0.75,science-leaning,0.03788009083333334,4
@zeph6439,2,2,4,0.5,balanced,-0.7174205674999999,4
@aaroncosier735,2,2,4,0.5,balanced,-0.309192022,4
@xxwookey,2,2,4,0.5,balanced,-0.35637247000000005,4
@77goanywhere,2,2,4,0.5,balanced,-0.6699861625,4
@GaryOsmondson,2,2,4,0.5,balanced,-0.6319010875,4
@JonathanLoganPDX,2,2,4,0.5,balanced,-0.3099815475,4
@Bebopin-69,2,2,4,0.5,balanced,-0.07214165565,4
@seanleith5312,1,3,4,0.25,denial-leaning,-0.7621639343616666,4
@whatabouttheearth,1,3,4,0.25,denial-leaning,-0.62716685,4
@neogenmatrix6162,2,2,4,0.5,balanced,-0.058276053999999994,4
@sentientflower7891,2,2,4,0.5,balanced,-0.3938354375,4
@Jay_Frank,2,2,4,0.5,balanced,-0.67127056,4
@xchopp,2,2,4,0.5,balanced,-0.009298937500000014,4
@serrihstamford,3,1,4,0.75,science-leaning,0.8842058666666667,4
@平和-v1z,2,2,4,0.5,balanced,0.44963640025,4
@Adodang,2,2,4,0.5,balanced,-0.009654153499999985,4
@AdeToz,3,1,4,0.75,science-leaning,-0.51420241,4
@VK4VO,1,3,4,0.25,denial-leaning,0.05294427999999998,4
@GeorgiosD90,3,1,4,0.75,science-leaning,-0.3352958966666667,4
@JA-gz6cj,2,2,4,0.5,balanced,-0.2595903825,4
@michaelsorensen7567,2,2,4,0.5,balanced,-0.1649794625,4
@martingillette7613,1,3,4,0.25,denial-leaning,-0.6083415716166667,4
@jassybee,1,2,3,0.3333333333333333,balanced,-0.4938794,3
@tabularasa0606,1,2,3,0.3333333333333333,balanced,-0.43315047749999996,3
@jgesselberty,1,2,3,0.3333333333333333,balanced,-0.293792085,3
@suziesmith2142,1,2,3,0.3333333333333333,balanced,0.43429699499999996,3
@jazwhoaskedforthis,2,1,3,0.6666666666666666,balanced,-0.02600545750000001,3
@jerricroft937,2,1,3,0.6666666666666666,balanced,0.61874469825,3
@sulijoo,1,2,3,0.3333333333333333,balanced,-0.7780881425,3
@stevelenores5637,2,1,3,0.6666666666666666,balanced,-0.07470606999999999,3
@stuartd9741,1,2,3,0.3333333333333333,balanced,0.22117212000000003,3
@jaymacpherson8167,1,2,3,0.3333333333333333,balanced,-0.2790160625,3
@jeanettejack2152,1,2,3,0.3333333333333333,balanced,-0.476932355,3
@stigsrnning6459,2,1,3,0.6666666666666666,balanced,-0.09686937575,3
@stopandthinkaboutit8636,1,2,3,0.3333333333333333,balanced,0.133968112,3
@stevenpike7857,1,2,3,0.3333333333333333,balanced,0.28226439999999997,3
@mark4asp,2,1,3,0.6666666666666666,balanced,-0.370865065,3
@teddybearroosevelt1847,1,2,3,0.3333333333333333,balanced,-0.739717125,3
@wstavis3135,2,1,3,0.6666666666666666,balanced,-0.631553015,3
@iareid8255,2,1,3,0.6666666666666666,balanced,-0.37256873,3
@willdsm08,1,2,3,0.3333333333333333,balanced,-0.0791262,3
@iancampbell6925,1,2,3,0.3333333333333333,balanced,-0.3279361585,3
@williampartridge7307,1,2,3,0.3333333333333333,balanced,-0.1416319155,3
@hurricanemeridian8712,1,2,3,0.3333333333333333,balanced,0.11893081999999999,3
@hrushikeshavachat900,1,2,3,0.3333333333333333,balanced,0.2873352315,3
@howardjones7370,2,1,3,0.6666666666666666,balanced,-0.23525348,3
@wompa70,1,2,3,0.3333333333333333,balanced,0.32143301,3
@yoman5136,1,2,3,0.3333333333333333,balanced,0.179355355,3
@vivigesso3756,1,2,3,0.3333333333333333,balanced,-0.8088689,3
@zacharywatson5531,1,2,3,0.3333333333333333,balanced,-0.24085041499999998,3
@zackattack635,1,2,3,0.3333333333333333,balanced,-0.850957375,3
@zakosist,1,2,3,0.3333333333333333,balanced,0.12738927249999998,3
@herbb8547,1,2,3,0.3333333333333333,balanced,-0.355037735,3
@helgefan8994,1,2,3,0.3333333333333333,balanced,-0.3482681675,3
@hartunstart,1,2,3,0.3333333333333333,balanced,-0.2473589475,3
@就趣味,1,2,3,0.3333333333333333,balanced,-0.67945266,3
@hamnose,1,2,3,0.3333333333333333,balanced,-0.03211497,3
@voiceofexperience,1,2,3,0.3333333333333333,balanced,-0.36554836749999997,3
@vincentkosik403,1,2,3,0.3333333333333333,balanced,0.456881629,3
@tenebrousjones4897,1,2,3,0.3333333333333333,balanced,-0.240760995,3
@thermalreboot,1,2,3,0.3333333333333333,balanced,-0.2757589085,3
@tenthousanddaysofgratitude,1,2,3,0.3333333333333333,balanced,-0.40308396999999996,3
@jarnosaarinen4583,2,1,3,0.6666666666666666,balanced,-0.2269455225,3
@jarichards99utube,1,2,3,0.3333333333333333,balanced,0.388099025,3
@teristeapot1823,2,1,3,0.6666666666666666,balanced,-0.5926022135,3
@terryturner2818,1,2,3,0.3333333333333333,balanced,-0.11988706500000001,3
@tetoffense7659,2,1,3,0.6666666666666666,balanced,-0.418219344,3
@jamesgrover2005,2,1,3,0.6666666666666666,balanced,-0.05827381499999998,3
@theknowall2232,2,1,3,0.6666666666666666,balanced,-0.5497767060000001,3
@thomaslawrence6353,1,2,3,0.3333333333333333,balanced,0.01830337500000001,3
@universalradio6944,1,2,3,0.3333333333333333,balanced,-0.666029475,3
@stevehewitt1151,2,1,3,0.6666666666666666,balanced,-0.28244243500000005,3
@jacquilayton2557,2,1,3,0.6666666666666666,balanced,-0.44848109574999995,3
@tomgreene1843,1,2,3,0.3333333333333333,balanced,0.67733641,3
@tonywilson4713,1,2,3,0.3333333333333333,balanced,-0.50460782,3
@treefoxxx,2,1,3,0.6666666666666666,balanced,-0.26074906924999997,3
@jackasdasd5143,2,1,3,0.6666666666666666,balanced,-0.18589646099999999,3
@izaruburs9389,2,1,3,0.6666666666666666,balanced,-0.55753138925,3
@iyamhere4370,1,2,3,0.3333333333333333,balanced,-0.5181516150000001,3
@jgreen9361,2,1,3,0.6666666666666666,balanced,-0.69640194,3
@joejoejoejoejoejoe4391,2,1,3,0.6666666666666666,balanced,-0.524993725,3
@starleyshelton2245,1,2,3,0.3333333333333333,balanced,-0.59958007,3
@normanstewart7130,1,2,3,0.3333333333333333,balanced,-0.05537011075000001,3
@naniyotaka,1,2,3,0.3333333333333333,balanced,-0.7952406,3
@nathanlevesque7812,2,1,3,0.6666666666666666,balanced,-0.610470275,3
@krystalmckenzie3041,1,2,3,0.3333333333333333,balanced,0.529492685,3
@nedwalport4426,1,2,3,0.3333333333333333,balanced,-0.35958296,3
@krixpop,2,1,3,0.6666666666666666,balanced,-0.611809075,3
@nevadataylor,1,2,3,0.3333333333333333,balanced,-0.85810463,3
@noahwilliams8996,2,1,3,0.6666666666666666,balanced,-0.728427025,3
@noconsent,1,2,3,0.3333333333333333,balanced,-0.09528271500000002,3
@klimatbluffen,1,2,3,0.3333333333333333,balanced,0.2457531085,3
@nuqwestr,1,2,3,0.3333333333333333,balanced,-0.37994881,3
@stapleman007,1,2,3,0.3333333333333333,balanced,-0.0871867775,3
@obinator9065,1,2,3,0.3333333333333333,balanced,-0.707261275,3
@okamijubei,2,1,3,0.6666666666666666,balanced,-0.34217401000000003,3
@old-pete,1,2,3,0.3333333333333333,balanced,-0.054063300000000036,3
@kevingooley6189,2,1,3,0.6666666666666666,balanced,0.393485293,3
@h.mandelene3279,1,2,3,0.3333333333333333,balanced,-0.7093661800000001,3
@kerrychase4839,1,2,3,0.3333333333333333,balanced,-0.0694245395,3
@orterves,1,2,3,0.3333333333333333,balanced,-0.39734942075,3
@kenos911,1,2,3,0.3333333333333333,balanced,-0.61809915,3
@pbsterra,2,1,3,0.6666666666666666,balanced,0.9629262675,3
@leannecoffey8964,2,1,3,0.6666666666666666,balanced,-0.19656274999999995,3
@mymy3172,1,2,3,0.3333333333333333,balanced,-0.24754850500000003,3
@mycount64,1,2,3,0.3333333333333333,balanced,-0.36966243,3
@libearl828,1,2,3,0.3333333333333333,balanced,-0.219736404,3
@markcampbell7577,2,1,3,0.6666666666666666,balanced,0.1880441135,3
@markedis5902,1,2,3,0.3333333333333333,balanced,-0.431824565,3
@markharris1223,1,2,3,0.3333333333333333,balanced,0.0882442,3
@markschiavone8003,1,2,3,0.3333333333333333,balanced,-0.38951385000000005,3
@madeinfoxtrap5539,2,1,3,0.6666666666666666,balanced,-0.4211181,3
@lyrebird9749,2,1,3,0.6666666666666666,balanced,0.22830588000000002,3
@luc6284,2,1,3,0.6666666666666666,balanced,-0.511757125,3
@mattmccallum2007,1,2,3,0.3333333333333333,balanced,0.2726910475,3
@megalodon6108,1,2,3,0.3333333333333333,balanced,-0.65194845,3
@melusine826,1,2,3,0.3333333333333333,balanced,0.14020404000000003,3
@mh1593,2,1,3,0.6666666666666666,balanced,0.28123592125,3
@michaelbartley7123,1,2,3,0.3333333333333333,balanced,0.08662543500000001,3
@michaelccopelandsr7120,1,2,3,0.3333333333333333,balanced,-0.47141500999999997,3
@loszhor,1,2,3,0.3333333333333333,balanced,-0.45502059,3
@lindop5425,1,2,3,0.3333333333333333,balanced,-0.42720374,3
@liete-sl2wg,2,1,3,0.6666666666666666,balanced,-0.7276509,3
@lie_detector_00,1,2,3,0.3333333333333333,balanced,-0.8522970000000001,3
@mickelkobeck7376,1,2,3,0.3333333333333333,balanced,-0.672151335,3
@micpic119,2,1,3,0.6666666666666666,balanced,-0.1352397925,3
@pcuimac,2,1,3,0.6666666666666666,balanced,-0.58719672,3
@peterbills4129,1,2,3,0.3333333333333333,balanced,0.10964063599999999,3
@peterjol,2,1,3,0.6666666666666666,balanced,0.0761077135,3
@richbalance8404,1,2,3,0.3333333333333333,balanced,-0.696969865,3
@roblouw1344,2,1,3,0.6666666666666666,balanced,0.673092904,3
@robmanzoni5766,1,2,3,0.3333333333333333,balanced,-0.1796752195,3
@john1boggity56,2,1,3,0.6666666666666666,balanced,-0.1651296275,3
@rogerstarkey5390,1,2,3,0.3333333333333333,balanced,-0.47197731000000004,3
@mariusg8824,1,2,3,0.3333333333333333,balanced,-0.44462820000000003,3
@joankearney4029,1,2,3,0.3333333333333333,balanced,0.1709963625,3
@jjhhandk3974,1,2,3,0.3333333333333333,balanced,-0.43538347499999996,3
@seraphcreed840,1,2,3,0.3333333333333333,balanced,-0.3526349655,3
@shanemitchell5807,1,2,3,0.3333333333333333,balanced,-0.326600685,3
@shoobidyboop8634,2,1,3,0.6666666666666666,balanced,0.21797326500000003,3
@shorunqualtec2070,1,2,3,0.3333333333333333,balanced,-0.74532786,3
@jimhood1202,1,2,3,0.3333333333333333,balanced,0.029381592499999942,3
@jimh3500,1,2,3,0.3333333333333333,balanced,0.347267025,3
@showme360,2,1,3,0.6666666666666666,balanced,-0.04252967500000002,3
@sirmeowthelibrarycat,1,2,3,0.3333333333333333,balanced,-0.45132285,3
@sirrathersplendid4825,2,1,3,0.6666666666666666,balanced,0.09314088250000002,3
@somethinglikethat2176,1,2,3,0.3333333333333333,balanced,-0.45695171,3
@sourabhmate1411,2,1,3,0.6666666666666666,balanced,-0.321090715,3
@spongebobpopsicle9397,1,2,3,0.3333333333333333,balanced,-0.585979255,3
@johndolph5158,2,1,3,0.6666666666666666,balanced,-0.36966257550000003,3
@johng4093,2,1,3,0.6666666666666666,balanced,-0.3847814325,3
@kbmblizz1940,1,2,3,0.3333333333333333,balanced,-0.690298305,3
@richardcowley4087,1,2,3,0.3333333333333333,balanced,-0.229516725,3
@peterp5099,1,2,3,0.3333333333333333,balanced,-0.65462983,3
@kaupaxup,1,2,3,0.3333333333333333,balanced,-0.844850135,3
@philipclemoes9458,1,2,3,0.3333333333333333,balanced,0.14546317999999997,3
@philipmeyer7402,1,2,3,0.3333333333333333,balanced,0.12253657,3
@kaitlyn__L,1,2,3,0.3333333333333333,balanced,-0.41430838,3
@prototropo,2,1,3,0.6666666666666666,balanced,0.05965317750000004,3
@proximacentaur1654,2,1,3,0.6666666666666666,balanced,-0.1955351195,3
@justinmadrid8712,1,2,3,0.3333333333333333,balanced,-0.54923855,3
@juni_thefoo,2,1,3,0.6666666666666666,balanced,0.6369505074999999,3
@jubilee,1,2,3,0.3333333333333333,balanced,0.76099635,3
@rabka123-m8v,1,2,3,0.3333333333333333,balanced,-0.57576623625,3
@ransomsimmons3218,1,2,3,0.3333333333333333,balanced,-0.28192255499999996,3
@josephteller9715,1,2,3,0.3333333333333333,balanced,-0.522014155,3
@ravenken,2,1,3,0.6666666666666666,balanced,0.6321824825,3
@jonpark6650,1,2,3,0.3333333333333333,balanced,0.03181045000000001,3
@rcnelson,1,2,3,0.3333333333333333,balanced,-0.13530827,3
@redacted5035,1,2,3,0.3333333333333333,balanced,0.07396291355,3
@reneeparker7475,1,2,3,0.3333333333333333,balanced,0.14048784999999997,3
@retrobluemusic,1,2,3,0.3333333333333333,balanced,-0.196753695,3
@oldschool1993,2,1,3,0.6666666666666666,balanced,0.35580447,3
@雷-t3j,2,1,3,0.6666666666666666,balanced,-0.20264973900000002,3
@SweBeach2023,1,2,3,0.3333333333333333,balanced,-0.68117677,3
@andyrowlands50029,1,2,3,0.3333333333333333,balanced,0.5003812125,3
@berniethekiwidragon4382,1,2,3,0.3333333333333333,balanced,-0.06299448099999999,3
@bentullett6068,1,2,3,0.3333333333333333,balanced,-0.435643435,3
@George.Andrews.,1,2,3,0.3333333333333333,balanced,-0.46038078649999997,3
@Gigachad-mc5qz,1,2,3,0.3333333333333333,balanced,-0.58874064,3
@beactivebehappy9894,2,1,3,0.6666666666666666,balanced,0.40271951500000003,3
@GizzyDillespee,1,2,3,0.3333333333333333,balanced,0.08671546000000002,3
@ballbag9641,1,2,3,0.3333333333333333,balanced,-0.3326030075,3
@badhombre4942,1,2,3,0.3333333333333333,balanced,-0.2834332175,3
@GontwRiya,1,2,3,0.3333333333333333,balanced,0.96642543,3
@aussieboy4090,2,1,3,0.6666666666666666,balanced,-0.4903595525,3
@auckman2281,1,2,3,0.3333333333333333,balanced,0.88285613,3
@GusOfTheDorks,1,2,3,0.3333333333333333,balanced,-0.09630478,3
@Hans-v6k,1,2,3,0.3333333333333333,balanced,-0.43577642,3
@Heavywall70,1,2,3,0.3333333333333333,balanced,0.26458248500000003,3
@Zelp789,2,1,3,0.6666666666666666,balanced,-0.5202149925,3
@andy-the-gardener,1,2,3,0.3333333333333333,balanced,-0.576086565,3
@HiddenHandMedia,1,2,3,0.3333333333333333,balanced,0.1312332625,3
@anabolicamaranth7140,1,2,3,0.3333333333333333,balanced,0.22745644749999996,3
@amarreder6241,1,2,3,0.3333333333333333,balanced,-0.20550232465,3
@alyssahansen1400,1,2,3,0.3333333333333333,balanced,-0.82850937,3
@alveolate,2,1,3,0.6666666666666666,balanced,-0.5431248225,3
@alexd4566,2,1,3,0.6666666666666666,balanced,0.0029190024999999897,3
@HironJoni-h5j,1,2,3,0.3333333333333333,balanced,0.95935476,3
@alexandracarrico1765,1,2,3,0.3333333333333333,balanced,0.20539352500000002,3
@albinoviper2876,1,2,3,0.3333333333333333,balanced,-0.20249895799999998,3
@Hitchhiker007,2,1,3,0.6666666666666666,balanced,-0.43436979499999995,3
@advent3774,2,1,3,0.6666666666666666,balanced,-0.67220061,3
@HussainjrMalik,1,2,3,0.3333333333333333,balanced,-0.15119955000000002,3
@bigike1313,2,1,3,0.6666666666666666,balanced,-0.21241729,3
@FonsecaStatter,2,1,3,0.6666666666666666,balanced,-0.41019082500000004,3
@Fjellstad69,1,2,3,0.3333333333333333,balanced,-0.11729360999999996,3
@billhanna8838,2,1,3,0.6666666666666666,balanced,-0.3195124225,3
@DisposableSupervillainHenchman,1,2,3,0.3333333333333333,balanced,-0.824909165,3
@channel1_channel,2,1,3,0.6666666666666666,balanced,-0.1219702365,3
@champspec,2,1,3,0.6666666666666666,balanced,-0.79356348,3
@chain8847,1,2,3,0.3333333333333333,balanced,-0.11629652000000001,3
@Doc-Holliday1851,1,2,3,0.3333333333333333,balanced,-0.0055622449999999934,3
@cdineaglecollapsecenter4672,1,2,3,0.3333333333333333,balanced,0.330484244,3
@ccastyman22305,1,2,3,0.3333333333333333,balanced,0.09617492499999997,3
